t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.47,-12.8,-10.2,-12.8,-10.2,-12.8,-10.2,-12.854,-10.192,0.04,-12.854,-10.192,0.0,0.0701
1.5,-12.8,-10.2,-12.8,-10.2,-12.8,-10.2,-12.854,-10.192,0.04,-12.854,-10.192,0.0,0.0701
2.0,-12.8,-10.2,-12.8,-10.2,-12.8,-10.2,-12.883,-10.203,0.04002,-12.883,-10.203,-0.0,0.0701
2.5,-12.789,-10.202,-12.79,-10.202,-12.79,-10.202,-12.885,-10.19,0.04003,-12.885,-10.19,-0.0,0.0701
3.0,-12.715,-10.223,-12.709,-10.222,-12.71,-10.226,-12.855,-10.216,0.04009,-12.855,-10.216,0.0001,0.0701
3.5,-12.587,-10.21,-12.569,-10.201,-12.569,-10.206,-12.696,-10.236,0.04026,-12.696,-10.236,-0.0004,0.0701
4.0,-12.41,-10.121,-12.383,-10.101,-12.382,-10.11,-12.558,-10.138,0.04062,-12.559,-10.138,0.0016,0.0701
4.5,-12.204,-9.967,-12.166,-9.93,-12.163,-9.942,-12.359,-9.994,0.04115,-12.36,-9.995,0.0033,0.0701
5.0,-11.991,-9.776,-11.935,-9.717,-11.929,-9.734,-12.129,-9.789,0.04198,-12.131,-9.791,0.0039,0.0701
5.5,-11.81,-9.617,-11.751,-9.551,-11.742,-9.571,-11.917,-9.659,0.04198,-11.922,-9.66,0.0029,0.0701
6.0,-11.58,-9.403,-11.506,-9.316,-11.492,-9.339,-11.699,-9.422,0.04383,-11.705,-9.428,0.0071,0.0701
6.5,-11.381,-9.208,-11.297,-9.103,-11.279,-9.131,-11.511,-9.244,0.04598,-11.527,-9.259,0.0156,0.0701
7.0,-11.139,-8.932,-11.047,-8.804,-11.025,-8.836,-11.288,-8.941,0.04941,-11.311,-8.968,0.0209,0.0701
7.5,-10.909,-8.589,-10.801,-8.425,-10.777,-8.458,-11.009,-8.559,0.05323,-11.026,-8.578,0.0122,0.0701
8.0,-10.695,-8.284,-10.57,-8.092,-10.543,-8.127,-10.811,-8.221,0.0584,-10.836,-8.26,0.0195,0.0701
8.5,-10.425,-7.971,-10.284,-7.759,-10.256,-7.795,-10.518,-7.909,0.06382,-10.557,-7.958,0.0228,0.0701
9.0,-10.118,-7.701,-9.954,-7.469,-9.923,-7.508,-10.208,-7.615,0.07,-10.259,-7.68,0.0267,0.0701
9.5,-9.804,-7.511,-9.621,-7.267,-9.587,-7.311,-9.885,-7.391,0.07459,-9.927,-7.451,0.0217,0.0701
10.0,-9.43,-7.374,-9.218,-7.119,-9.182,-7.168,-9.474,-7.263,0.07764,-9.529,-7.324,0.0229,0.0701
10.5,-9.113,-7.321,-8.881,-7.06,-8.844,-7.119,-9.143,-7.212,0.0789,-9.208,-7.277,0.0243,0.0701
11.0,-8.744,-7.294,-8.498,-7.028,-8.461,-7.093,-8.712,-7.274,0.07605,-8.808,-7.324,0.0271,0.0701
11.5,-8.414,-7.305,-8.143,-7.036,-8.105,-7.108,-8.358,-7.263,0.07575,-8.435,-7.302,0.0204,0.0701
12.0,-8.085,-7.352,-7.79,-7.081,-7.755,-7.163,-8.046,-7.325,0.07885,-8.185,-7.4,0.0367,0.0701
12.5,-7.727,-7.44,-7.409,-7.169,-7.375,-7.258,-7.693,-7.413,0.07967,-7.874,-7.504,0.0452,0.0701
13.0,-7.37,-7.504,-7.021,-7.225,-6.987,-7.319,-7.312,-7.457,0.07866,-7.492,-7.544,0.0429,0.0701
13.5,-6.965,-7.5,-6.593,-7.207,-6.56,-7.312,-6.907,-7.479,0.08119,-7.143,-7.578,0.0529,0.0701
14.0,-6.569,-7.396,-6.17,-7.081,-6.135,-7.195,-6.502,-7.366,0.08212,-6.779,-7.482,0.0587,0.0701
14.5,-6.263,-7.266,-5.858,-6.934,-5.819,-7.056,-6.192,-7.211,0.07959,-6.465,-7.334,0.056,0.0701
15.0,-6.006,-6.97,-5.597,-6.619,-5.554,-6.744,-5.93,-6.913,0.07788,-6.196,-7.039,0.0538,0.0701
15.5,-5.724,-6.682,-5.291,-6.308,-5.245,-6.436,-5.643,-6.636,0.07895,-5.951,-6.787,0.0609,0.0701
16.0,-5.423,-6.464,-4.969,-6.07,-4.921,-6.201,-5.318,-6.453,0.07809,-5.621,-6.588,0.0588,0.0701
16.5,-5.143,-6.174,-4.683,-5.76,-4.63,-5.895,-5.021,-6.153,0.07609,-5.299,-6.279,0.0527,0.0701
17.0,-4.946,-5.86,-4.478,-5.42,-4.423,-5.556,-4.834,-5.85,0.07639,-5.144,-5.999,0.0588,0.0701
17.5,-4.767,-5.487,-4.291,-5.021,-4.232,-5.159,-4.632,-5.452,0.07384,-4.906,-5.592,0.0516,0.0701
18.0,-4.604,-5.105,-4.119,-4.612,-4.06,-4.751,-4.427,-5.046,0.07067,-4.64,-5.148,0.0392,0.0701
18.5,-4.456,-4.761,-3.965,-4.246,-3.904,-4.385,-4.274,-4.659,0.06871,-4.462,-4.762,0.035,0.0701
19.0,-4.267,-4.392,-3.765,-3.852,-3.704,-3.991,-4.101,-4.279,0.07018,-4.321,-4.419,0.0414,0.0701
19.5,-4.081,-4.067,-3.571,-3.504,-3.508,-3.644,-3.905,-3.957,0.07009,-4.134,-4.103,0.0424,0.0701
20.0,-3.858,-3.717,-3.335,-3.13,-3.27,-3.272,-3.67,-3.631,0.07167,-3.931,-3.795,0.047,0.0701
20.5,-3.618,-3.377,-3.079,-2.762,-3.01,-2.907,-3.416,-3.281,0.0722,-3.687,-3.458,0.048,0.0701
21.0,-3.398,-3.075,-2.844,-2.435,-2.772,-2.583,-3.183,-2.995,0.07284,-3.481,-3.189,0.0516,0.0701
21.5,-3.145,-2.745,-2.58,-2.084,-2.5,-2.237,-2.921,-2.654,0.0728,-3.223,-2.86,0.0516,0.0701
22.0,-2.888,-2.418,-2.307,-1.731,-2.223,-1.888,-2.668,-2.324,0.0744,-3.004,-2.569,0.0567,0.0701
22.5,-2.656,-2.125,-2.059,-1.412,-1.974,-1.57,-2.448,-1.999,0.07431,-2.795,-2.276,0.0588,0.0701
23.0,-2.397,-1.799,-1.785,-1.06,-1.692,-1.225,-2.208,-1.662,0.07663,-2.603,-2.003,0.0661,0.0701
23.5,-2.163,-1.507,-1.54,-0.749,-1.447,-0.914,-1.93,-1.375,0.07365,-2.291,-1.668,0.0591,0.0701
24.0,-1.899,-1.186,-1.261,-0.402,-1.163,-0.572,-1.668,-1.04,0.07401,-2.048,-1.363,0.0614,0.0701
24.5,-1.632,-0.866,-0.979,-0.057,-0.877,-0.228,-1.423,-0.7,0.07569,-1.84,-1.08,0.0668,0.0701
25.0,-1.392,-0.579,-0.724,0.255,-0.619,0.08,-1.174,-0.394,0.0743,-1.584,-0.774,0.0652,0.0701
25.5,-1.128,-0.258,-0.449,0.596,-0.338,0.416,-0.881,-0.052,0.07195,-1.256,-0.401,0.0591,0.0701
26.0,-0.89,0.031,-0.19,0.918,-0.075,0.735,-0.622,0.261,0.07068,-0.991,-0.084,0.0574,0.0701
26.5,-0.622,0.35,0.092,1.261,0.212,1.073,-0.352,0.596,0.07027,-0.725,0.236,0.0577,0.0701
27.0,-0.353,0.666,0.369,1.595,0.497,1.401,-0.069,0.919,0.06906,-0.433,0.566,0.0557,0.0701
27.5,-0.11,0.951,0.627,1.903,0.757,1.707,0.181,1.224,0.06787,-0.178,0.87,0.0546,0.0701
28.0,0.166,1.262,0.918,2.239,1.049,2.042,0.452,1.529,0.06885,0.057,1.137,0.0588,0.0701
28.5,0.441,1.574,1.206,2.576,1.343,2.375,0.739,1.848,0.06804,0.343,1.454,0.0583,0.0701
29.0,0.676,1.865,1.454,2.891,1.598,2.683,0.987,2.173,0.06646,0.615,1.793,0.0549,0.0701
29.5,0.913,2.206,1.704,3.261,1.856,3.048,1.221,2.55,0.06623,0.853,2.153,0.0545,0.0701
30.0,1.113,2.522,1.913,3.6,2.073,3.382,1.411,2.879,0.06622,1.032,2.455,0.0563,0.0701
30.5,1.338,2.871,2.151,3.975,2.316,3.752,1.67,3.222,0.06894,1.266,2.785,0.057,0.0701
31.0,1.562,3.222,2.385,4.348,2.554,4.124,1.882,3.609,0.06845,1.487,3.157,0.0563,0.0701
31.5,1.772,3.531,2.602,4.671,2.771,4.446,2.084,3.934,0.06733,1.697,3.478,0.0555,0.0701
32.0,2.012,3.871,2.849,5.026,3.023,4.798,2.328,4.303,0.06628,1.962,3.856,0.0527,0.0701
32.5,2.238,4.169,3.095,5.356,3.276,5.123,2.583,4.622,0.0687,2.202,4.163,0.0527,0.0701
33.0,2.495,4.495,3.368,5.708,3.553,5.471,2.864,4.964,0.07141,2.466,4.492,0.0528,0.0701
33.5,2.785,4.789,3.679,6.028,3.865,5.79,3.179,5.277,0.07419,2.763,4.793,0.0529,0.0701
34.0,3.07,5.031,3.977,6.287,4.168,6.043,3.477,5.538,0.07674,3.05,5.044,0.0525,0.0701
34.5,3.388,5.298,4.317,6.583,4.514,6.332,3.818,5.803,0.07854,3.355,5.283,0.0546,0.0701
35.0,3.691,5.582,4.639,6.897,4.843,6.638,4.146,6.11,0.08156,3.667,5.578,0.0544,0.0701
35.5,3.903,5.806,4.858,7.143,5.068,6.88,4.383,6.375,0.07836,3.968,5.911,0.0477,0.0701
36.0,3.935,6.13,4.876,7.496,5.097,7.232,4.414,6.724,0.0801,3.996,6.246,0.0477,0.0701
36.5,3.893,6.433,4.829,7.813,5.053,7.549,4.352,7.039,0.07462,3.966,6.57,0.0465,0.0701
37.0,3.894,6.802,4.832,8.215,5.063,7.95,4.349,7.41,0.07444,3.943,6.903,0.0494,0.0701
37.5,3.985,7.174,4.929,8.616,5.166,8.35,4.462,7.805,0.07298,4.079,7.317,0.0471,0.0701
38.0,4.114,7.514,5.064,8.976,5.306,8.708,4.6,8.138,0.07271,4.207,7.633,0.0482,0.0701
38.5,4.268,7.888,5.226,9.381,5.47,9.112,4.741,8.519,0.07138,4.338,7.983,0.0502,0.0701
39.0,4.383,8.187,5.345,9.705,5.593,9.434,4.859,8.827,0.07082,4.453,8.28,0.0506,0.0701
39.5,4.524,8.535,5.496,10.082,5.748,9.81,4.966,9.185,0.07046,4.537,8.579,0.0544,0.0701
40.0,4.739,8.89,5.715,10.458,5.976,10.18,5.187,9.553,0.07091,4.759,8.936,0.0541,0.0701
40.5,4.945,9.203,5.928,10.794,6.194,10.514,5.395,9.884,0.06907,4.986,9.27,0.053,0.0701
41.0,5.186,9.541,6.182,11.163,6.455,10.878,5.655,10.248,0.06953,5.25,9.63,0.052,0.0701
41.5,5.437,9.872,6.438,11.514,6.718,11.223,5.915,10.592,0.06764,5.532,9.985,0.0503,0.0701
42.0,5.67,10.165,6.686,11.84,6.972,11.543,6.15,10.914,0.06874,5.76,10.28,0.051,0.0701
42.5,5.937,10.452,6.973,12.15,7.268,11.846,6.439,11.22,0.0683,6.055,10.58,0.0502,0.0701
43.0,6.231,10.614,7.278,12.337,7.581,12.018,6.752,11.392,0.06904,6.36,10.747,0.0499,0.0701
43.5,6.539,10.874,7.599,12.636,7.914,12.304,7.047,11.692,0.07019,6.64,11.001,0.0515,0.0701
44.0,6.897,11.049,7.981,12.838,8.304,12.488,7.42,11.891,0.07207,6.995,11.179,0.0518,0.0701
44.5,7.257,11.124,8.356,12.933,8.683,12.568,7.786,11.999,0.07202,7.358,11.305,0.0502,0.0701
45.0,7.67,11.151,8.795,12.987,9.125,12.593,8.224,11.988,0.07092,7.759,11.296,0.0516,0.0701
45.5,8.04,11.142,9.194,12.997,9.524,12.585,8.648,11.901,0.06775,8.15,11.25,0.0525,0.0701
46.0,8.432,11.042,9.611,12.911,9.935,12.477,9.064,11.837,0.06715,8.581,11.245,0.0486,0.0701
46.5,8.806,10.869,10.015,12.749,10.33,12.293,9.468,11.624,0.06274,8.98,11.108,0.047,0.0701
47.0,9.122,10.673,10.368,12.557,10.669,12.077,9.746,11.22,0.05311,9.216,10.747,0.0535,0.0701
47.5,9.446,10.419,10.722,12.31,11.006,11.808,10.063,10.973,0.04698,9.523,10.559,0.0522,0.0701
48.0,9.714,10.114,11.025,12.0,11.289,11.48,10.289,10.577,0.04209,9.781,10.244,0.0526,0.0701
48.5,9.909,9.796,11.254,11.674,11.498,11.141,10.444,10.199,0.04039,9.97,9.927,0.0528,0.0701
49.0,10.136,9.45,11.525,11.318,11.744,10.767,10.692,9.8,0.04101,10.2,9.555,0.0532,0.0701
49.5,10.371,9.16,11.793,11.029,11.991,10.46,10.939,9.506,0.04165,10.438,9.278,0.0529,0.0701
50.0,10.641,8.843,12.099,10.71,12.279,10.126,11.232,9.172,0.04125,10.746,8.991,0.0513,0.0701
50.5,10.9,8.519,12.399,10.379,12.559,9.777,11.444,8.775,0.04064,10.997,8.606,0.0524,0.0701
51.0,11.121,8.217,12.655,10.069,12.796,9.452,11.666,8.427,0.04058,11.232,8.298,0.052,0.0701
51.5,11.346,7.869,12.915,9.713,13.037,9.083,11.831,8.077,0.04061,11.443,7.97,0.0525,0.0701
52.0,11.524,7.541,13.131,9.365,13.231,8.723,12.0,7.703,0.04056,11.627,7.631,0.0525,0.0701
