t,tx,rx,relayed,dup_dropped
2.0,3,8,8,8
4.0,13,28,28,28
6.0,23,48,48,48
8.0,33,69,68,68
10.0,43,89,88,88
12.0,53,109,108,107
14.0,63,129,128,127
16.0,73,150,148,147
18.0,83,171,167,166
20.0,93,193,187,185
22.0,103,215,207,205
24.0,113,235,227,225
26.0,123,256,246,243
28.0,133,277,266,262
30.0,143,298,286,282
32.0,153,319,306,300
34.0,163,340,326,319
36.0,173,360,346,338
38.0,184,384,366,348
40.0,195,405,383,348
42.0,207,413,390,350
44.0,218,438,413,372
46.0,228,460,433,392
48.0,238,482,453,412
50.0,248,504,473,432
52.0,258,526,493,452
54.0,268,548,510,463
56.0,278,570,529,480
58.0,288,591,548,495
60.0,298,612,568,515
62.0,308,633,588,535
64.0,318,656,608,555
66.0,328,677,628,575
68.0,339,701,650,597
70.0,351,727,674,621
72.0,362,752,697,644
74.0,374,777,720,667
76.0,386,803,744,691
78.0,397,829,767,714
80.0,409,853,788,735
82.0,419,875,808,755
84.0,429,897,828,775
86.0,439,919,848,795
88.0,449,941,868,815
90.0,459,963,888,835
92.0,469,985,908,855
94.0,479,1007,927,872
96.0,489,1028,945,881
98.0,499,1048,965,900
100.0,509,1068,985,920
102.0,519,1089,1005,940
104.0,529,1111,1025,960
106.0,539,1131,1045,980
108.0,549,1153,1065,1000
110.0,559,1174,1084,1011
112.0,569,1197,1103,1028
114.0,579,1218,1123,1046
116.0,589,1240,1143,1066
118.0,601,1266,1167,1089
120.0,612,1290,1189,1111
122.0,624,1316,1213,1134
124.0,636,1342,1237,1158
126.0,647,1366,1259,1180
128.0,659,1392,1283,1204
130.0,671,1418,1307,1228
132.0,681,1441,1328,1249
134.0,691,1463,1348,1269
136.0,701,1485,1368,1289
138.0,711,1508,1388,1309
140.0,721,1530,1408,1329
142.0,731,1552,1428,1349
144.0,741,1574,1448,1369
146.0,751,1596,1468,1389
148.0,761,1618,1488,1408
150.0,771,1640,1508,1428
152.0,781,1661,1528,1448
154.0,791,1683,1548,1468
156.0,801,1704,1568,1488
158.0,811,1724,1588,1508
160.0,821,1744,1608,1528
162.0,831,1764,1628,1547
164.0,841,1784,1648,1567
166.0,851,1805,1668,1587
168.0,861,1826,1688,1607
170.0,871,1847,1708,1626
172.0,881,1868,1728,1646
174.0,891,1889,1748,1666
176.0,901,1909,1768,1686
178.0,911,1929,1788,1706
180.0,921,1950,1808,1726
182.0,931,1971,1827,1745
184.0,941,1991,1847,1765
186.0,951,2012,1867,1785
188.0,961,2034,1887,1805
190.0,971,2054,1907,1825
192.0,981,2074,1927,1845
194.0,991,2094,1947,1865
196.0,1001,2114,1967,1885
198.0,1011,2135,1987,1905
200.0,1021,2156,2007,1925
202.0,1031,2176,2027,1945
204.0,1041,2197,2047,1965
206.0,1051,2217,2067,1985
208.0,1061,2238,2087,2005
210.0,1071,2258,2107,2025
212.0,1081,2278,2127,2045
214.0,1091,2299,2147,2065
216.0,1101,2319,2167,2085
218.0,1111,2339,2187,2105
220.0,1121,2359,2207,2125
222.0,1131,2379,2227,2145
224.0,1141,2399,2247,2165
226.0,1151,2419,2267,2185
228.0,1161,2439,2287,2205
230.0,1171,2459,2307,2225
232.0,1181,2479,2327,2245
234.0,1191,2499,2347,2265
236.0,1201,2519,2367,2284
238.0,1211,2540,2387,2304
240.0,1221,2560,2407,2324
242.0,1231,2580,2427,2344
244.0,1241,2600,2447,2364
246.0,1251,2620,2467,2383
248.0,1261,2641,2487,2403
250.0,1271,2661,2507,2423
252.0,1281,2682,2527,2443
254.0,1291,2702,2547,2463
256.0,1301,2723,2567,2483
258.0,1311,2743,2587,2503
260.0,1321,2764,2607,2523
262.0,1331,2784,2627,2543
264.0,1341,2806,2647,2563
266.0,1351,2826,2667,2583
268.0,1361,2846,2687,2603
270.0,1371,2868,2707,2623
272.0,1380,2889,2727,2643
274.0,1390,2910,2747,2663
276.0,1400,2931,2767,2683
