t,own_known,merged_known,total
1.0,0,0,45369
2.0,0,0,45369
3.0,27,58,45369
4.0,2442,3719,45369
5.0,4160,6157,45369
6.0,5200,7135,45369
7.0,5729,7778,45369
8.0,6225,8210,45369
9.0,6659,8666,45369
10.0,6895,9087,45369
11.0,7326,9882,45369
12.0,7560,10787,45369
13.0,7899,11560,45369
14.0,8324,12398,45369
15.0,8816,13177,45369
16.0,9471,13694,45369
17.0,10320,14419,45369
18.0,11061,15205,45369
19.0,11824,16002,45369
20.0,12678,16940,45369
21.0,13454,17877,45369
22.0,14165,18787,45369
23.0,14925,19527,45369
24.0,15665,20459,45369
25.0,16320,21345,45369
26.0,16975,22121,45369
27.0,17406,22814,45369
28.0,18087,23615,45369
29.0,18780,24407,45369
30.0,19428,25236,45369
31.0,20021,26195,45369
32.0,20603,27115,45369
33.0,21192,28103,45369
34.0,21752,28908,45369
35.0,22281,29903,45369
36.0,22740,30690,45369
37.0,23221,31258,45369
38.0,23745,31889,45369
39.0,24258,32342,45369
40.0,24773,32612,45369
41.0,25213,32880,45369
42.0,25432,32893,45369
43.0,25687,33066,45369
44.0,25893,33094,45369
45.0,26028,33142,45369
46.0,26238,33172,45369
47.0,26417,33205,45369
48.0,26532,33212,45369
49.0,26594,33233,45369
50.0,26719,33261,45369
51.0,26773,33274,45369
52.0,26791,33279,45369
53.0,26810,33288,45369
54.0,26819,33289,45369
55.0,26823,33317,45369
56.0,26831,33394,45369
57.0,26836,33477,45369
58.0,26851,33660,45369
59.0,26896,33900,45369
60.0,26973,34079,45369
61.0,27028,34295,45369
62.0,27185,34566,45369
63.0,27418,34849,45369
64.0,27668,35039,45369
65.0,27819,35377,45369
66.0,28041,35730,45369
67.0,28205,36052,45369
68.0,28401,36349,45369
69.0,28520,36515,45369
70.0,28645,36673,45369
71.0,28998,36759,45369
72.0,29462,36847,45369
73.0,29831,36920,45369
74.0,30269,37052,45369
75.0,30602,37212,45369
76.0,30796,37337,45369
77.0,30883,37393,45369
78.0,30986,37445,45369
79.0,31019,37472,45369
80.0,31076,37500,45369
81.0,31130,37528,45369
82.0,31136,37533,45369
83.0,31143,37532,45369
84.0,31138,37527,45369
85.0,31140,37523,45369
86.0,31138,37516,45369
87.0,31140,37518,45369
88.0,31147,37521,45369
89.0,31149,37521,45369
90.0,31149,37521,45369
91.0,31155,37522,45369
92.0,31166,37522,45369
93.0,31177,37523,45369
94.0,31193,37524,45369
95.0,31221,37523,45369
96.0,31233,37524,45369
97.0,31258,37523,45369
98.0,31264,37522,45369
99.0,31272,37521,45369
100.0,31276,37534,45369
101.0,31284,37555,45369
102.0,31342,37579,45369
103.0,31408,37621,45369
104.0,31465,37649,45369
105.0,31629,37668,45369
106.0,31873,37702,45369
107.0,32194,37798,45369
108.0,32465,38011,45369
109.0,32937,38338,45369
110.0,33281,38621,45369
111.0,33866,39107,45369
112.0,34294,39684,45369
113.0,34939,40061,45369
114.0,35550,40564,45369
115.0,35834,41021,45369
116.0,36189,41312,45369
117.0,36386,41753,45369
118.0,36576,42101,45369
119.0,36700,42245,45369
120.0,36789,42394,45369
121.0,36835,42540,45369
122.0,36867,42670,45369
123.0,36870,42752,45369
124.0,36880,42847,45369
125.0,36890,42901,45369
126.0,36888,42964,45369
127.0,36890,43032,45369
128.0,36889,43053,45369
129.0,36899,43074,45369
130.0,36942,43109,45369
131.0,36984,43180,45369
132.0,37015,43308,45369
133.0,37047,43461,45369
134.0,37054,43568,45369
