t,own_known,merged_known,total
1.0,0,0,45369
2.0,1958,1958,45369
3.0,4362,4363,45369
4.0,5836,6384,45369
5.0,6435,7172,45369
6.0,7059,7722,45369
7.0,7550,8227,45369
8.0,7908,8653,45369
9.0,8285,9060,45369
10.0,8664,9505,45369
11.0,9496,10292,45369
12.0,10334,11163,45369
13.0,11134,11967,45369
14.0,11843,12728,45369
15.0,12558,13451,45369
16.0,12925,13829,45369
17.0,13485,14379,45369
18.0,14126,15013,45369
19.0,14671,15555,45369
20.0,15240,16170,45369
21.0,15910,16992,45369
22.0,16541,17741,45369
23.0,17196,18597,45369
24.0,17775,19388,45369
25.0,18299,20112,45369
26.0,18890,20832,45369
27.0,19492,21498,45369
28.0,20013,22084,45369
29.0,20503,22642,45369
30.0,21007,23188,45369
31.0,21530,23821,45369
32.0,22016,24494,45369
33.0,22610,25264,45369
34.0,23214,26081,45369
35.0,23622,26705,45369
36.0,24376,27522,45369
37.0,25039,28234,45369
38.0,25354,28592,45369
39.0,25623,28879,45369
40.0,25790,29131,45369
41.0,25876,29378,45369
42.0,25912,29574,45369
43.0,25994,29809,45369
44.0,26040,29966,45369
45.0,26110,30140,45369
46.0,26196,30242,45369
47.0,26284,30376,45369
48.0,26366,30489,45369
49.0,26415,30613,45369
50.0,26529,30746,45369
51.0,26666,30852,45369
52.0,26767,30921,45369
53.0,26968,31052,45369
54.0,27196,31216,45369
55.0,27386,31347,45369
56.0,27601,31508,45369
57.0,27781,31644,45369
58.0,28125,31922,45369
59.0,28434,32176,45369
60.0,28660,32381,45369
61.0,28987,32689,45369
62.0,29304,33008,45369
63.0,29650,33369,45369
64.0,29899,33605,45369
65.0,30290,33967,45369
66.0,30470,34164,45369
67.0,30715,34396,45369
68.0,30950,34644,45369
69.0,31023,34737,45369
70.0,31091,34847,45369
71.0,31142,34919,45369
72.0,31179,34987,45369
73.0,31193,35019,45369
74.0,31220,35052,45369
75.0,31231,35064,45369
76.0,31249,35073,45369
77.0,31264,35075,45369
78.0,31263,35068,45369
79.0,31281,35069,45369
80.0,31311,35068,45369
81.0,31345,35084,45369
82.0,31355,35087,45369
83.0,31427,35110,45369
84.0,31443,35142,45369
85.0,31459,35160,45369
86.0,31462,35170,45369
87.0,31463,35179,45369
88.0,31468,35185,45369
89.0,31478,35192,45369
90.0,31482,35209,45369
91.0,31493,35224,45369
92.0,31502,35231,45369
93.0,31508,35231,45369
94.0,31525,35233,45369
95.0,31553,35234,45369
96.0,31586,35237,45369
97.0,31638,35237,45369
98.0,31695,35238,45369
99.0,31728,35238,45369
100.0,31814,35239,45369
101.0,31990,35257,45369
102.0,32295,35383,45369
103.0,32678,35647,45369
104.0,33019,35902,45369
105.0,33604,36343,45369
106.0,34308,36909,45369
107.0,35016,37521,45369
108.0,35484,37949,45369
109.0,36176,38576,45369
110.0,36886,39249,45369
111.0,37359,39688,45369
112.0,37950,40261,45369
113.0,38323,40622,45369
114.0,38502,40800,45369
115.0,38646,40948,45369
116.0,38735,41029,45369
117.0,38836,41136,45369
118.0,38856,41202,45369
119.0,38919,41343,45369
120.0,38948,41446,45369
121.0,38967,41545,45369
122.0,38975,41603,45369
123.0,39003,41647,45369
124.0,39007,41678,45369
125.0,39009,41694,45369
126.0,39007,41702,45369
127.0,39022,41715,45369
128.0,39048,41735,45369
129.0,39081,41759,45369
130.0,39120,41774,45369
131.0,39150,41779,45369
132.0,39176,41782,45369
133.0,39197,41795,45369
134.0,39203,41796,45369
135.0,39222,41806,45369
136.0,39231,41828,45369
137.0,39235,41852,45369
138.0,39235,41870,45369
139.0,39242,41884,45369
140.0,39261,41908,45369
141.0,39276,41919,45369
142.0,39275,41926,45369
143.0,39286,41932,45369
144.0,39296,41933,45369
145.0,39306,41933,45369
146.0,39317,41933,45369
147.0,39313,41933,45369
148.0,39296,41932,45369
149.0,39308,41932,45369
150.0,39314,41932,45369
151.0,39308,41932,45369
152.0,39303,41932,45369
153.0,39284,41933,45369
154.0,39286,41936,45369
155.0,39305,41948,45369
156.0,39306,41967,45369
157.0,39311,41984,45369
158.0,39317,42003,45369
159.0,39317,42009,45369
160.0,39320,42020,45369
161.0,39328,42026,45369
162.0,39324,42026,45369
163.0,39324,42026,45369
164.0,39322,42031,45369
165.0,39325,42031,45369
166.0,39330,42031,45369
167.0,39337,42031,45369
168.0,39342,42032,45369
169.0,39347,42032,45369
170.0,39348,42032,45369
171.0,39350,42033,45369
172.0,39343,42033,45369
173.0,39344,42033,45369
174.0,39344,42033,45369
175.0,39341,42034,45369
176.0,39342,42034,45369
177.0,39338,42034,45369
178.0,39334,42034,45369
179.0,39336,42034,45369
180.0,39341,42034,45369
181.0,39346,42034,45369
182.0,39342,42034,45369
183.0,39344,42034,45369
184.0,39346,42034,45369
185.0,39348,42034,45369
186.0,39347,42034,45369
187.0,39350,42034,45369
