t,tx,rx,relayed,dup_dropped
2.0,3,9,9,9
4.0,13,29,29,29
6.0,23,49,49,49
8.0,33,69,69,69
10.0,43,90,89,89
12.0,53,110,109,108
14.0,63,130,129,127
16.0,73,149,148,144
18.0,83,170,168,163
20.0,93,191,188,182
22.0,103,211,208,202
24.0,113,232,228,222
26.0,123,253,248,240
28.0,133,275,268,260
30.0,143,296,288,280
32.0,153,321,308,299
34.0,163,343,328,319
36.0,173,366,348,337
38.0,183,390,368,356
40.0,195,418,391,379
42.0,206,443,414,402
44.0,217,467,436,424
46.0,227,489,456,444
48.0,237,511,476,464
50.0,247,534,496,484
52.0,257,556,516,504
54.0,267,578,536,524
56.0,277,600,555,538
58.0,287,614,564,538
60.0,297,632,582,553
62.0,307,653,601,571
64.0,317,674,621,591
66.0,327,696,640,609
68.0,338,719,662,631
70.0,349,744,685,654
72.0,361,769,708,677
74.0,373,795,732,701
76.0,384,820,755,724
78.0,396,845,778,747
80.0,407,871,802,771
82.0,417,893,822,791
84.0,427,915,842,811
86.0,437,937,862,831
88.0,447,960,882,851
90.0,457,982,902,871
92.0,467,1004,922,891
94.0,477,1026,942,911
96.0,487,1048,962,931
98.0,497,1070,981,942
100.0,507,1092,997,947
102.0,517,1112,1017,966
104.0,527,1134,1037,984
106.0,537,1158,1057,1003
108.0,547,1179,1077,1021
110.0,557,1202,1097,1041
112.0,567,1226,1117,1059
114.0,577,1251,1136,1076
116.0,588,1276,1157,1093
118.0,600,1302,1181,1115
120.0,611,1327,1204,1138
122.0,623,1352,1227,1161
124.0,635,1378,1251,1185
126.0,646,1403,1274,1208
128.0,658,1430,1297,1230
130.0,670,1454,1319,1252
132.0,680,1476,1339,1272
134.0,690,1498,1359,1292
136.0,700,1520,1379,1312
138.0,710,1542,1399,1332
140.0,720,1564,1419,1351
142.0,730,1586,1439,1371
144.0,740,1608,1459,1391
146.0,750,1631,1479,1411
148.0,760,1651,1499,1431
150.0,770,1672,1519,1451
152.0,780,1694,1539,1471
154.0,790,1716,1559,1491
156.0,800,1738,1579,1511
158.0,810,1758,1599,1531
160.0,820,1778,1619,1551
162.0,830,1798,1639,1570
164.0,840,1819,1659,1589
166.0,850,1839,1679,1608
168.0,860,1859,1699,1628
170.0,870,1879,1719,1648
172.0,880,1899,1739,1667
174.0,890,1920,1759,1687
176.0,900,1940,1779,1707
178.0,910,1960,1799,1727
180.0,920,1980,1819,1747
182.0,930,2001,1839,1767
184.0,940,2022,1859,1787
186.0,950,2042,1879,1807
188.0,960,2062,1899,1827
190.0,970,2082,1919,1847
192.0,980,2103,1939,1866
194.0,990,2123,1959,1886
196.0,1000,2144,1979,1906
198.0,1010,2164,1999,1926
200.0,1020,2185,2019,1946
202.0,1030,2206,2039,1966
204.0,1040,2226,2059,1986
206.0,1050,2247,2079,2006
208.0,1060,2268,2099,2026
210.0,1070,2290,2119,2046
212.0,1080,2310,2139,2066
214.0,1090,2330,2159,2085
216.0,1100,2350,2179,2105
218.0,1110,2370,2199,2125
220.0,1120,2390,2219,2145
222.0,1130,2410,2239,2165
224.0,1140,2430,2259,2185
226.0,1150,2450,2279,2205
228.0,1160,2472,2299,2225
230.0,1170,2492,2319,2245
232.0,1180,2512,2339,2265
234.0,1190,2532,2359,2285
236.0,1200,2552,2379,2305
238.0,1210,2573,2399,2325
240.0,1220,2593,2419,2345
242.0,1230,2614,2439,2365
244.0,1240,2635,2459,2385
246.0,1250,2656,2479,2405
248.0,1260,2676,2499,2425
250.0,1270,2696,2519,2445
252.0,1280,2716,2539,2465
254.0,1290,2736,2559,2485
256.0,1300,2758,2579,2505
258.0,1310,2779,2599,2525
260.0,1320,2800,2619,2545
262.0,1330,2820,2639,2565
264.0,1340,2841,2659,2585
266.0,1350,2863,2679,2604
268.0,1360,2883,2699,2624
270.0,1370,2904,2719,2644
272.0,1380,2924,2738,2663
274.0,1390,2945,2758,2683
276.0,1400,2965,2778,2703
