t,gt_x,gt_y,dr_x,dr_y,cdr_x,cdr_y,fused_x,fused_y,P_trace,fb_x,fb_y,b_hat,b_true
1.5,-12.8,-10.2,-12.801,-10.201,-12.8,-10.201,-12.881,-10.153,0.04002,-12.881,-10.153,0.0,-0.0651
2.0,-12.8,-10.2,-12.801,-10.201,-12.801,-10.201,-12.82,-10.183,0.04002,-12.82,-10.183,0.0,-0.0651
2.5,-12.763,-10.222,-12.769,-10.222,-12.768,-10.221,-12.821,-10.2,0.04004,-12.821,-10.2,-0.0,-0.0651
3.0,-12.71,-10.247,-12.719,-10.244,-12.719,-10.243,-12.742,-10.217,0.04007,-12.742,-10.217,-0.0002,-0.0651
3.5,-12.584,-10.251,-12.6,-10.245,-12.599,-10.242,-12.543,-10.244,0.0402,-12.543,-10.244,-0.0015,-0.0651
4.0,-12.416,-10.173,-12.442,-10.169,-12.441,-10.168,-12.326,-10.211,0.04043,-12.325,-10.211,-0.0039,-0.0651
4.5,-12.227,-10.017,-12.265,-10.019,-12.263,-10.019,-12.168,-10.042,0.04083,-12.167,-10.041,-0.0028,-0.0651
5.0,-12.005,-9.822,-12.055,-9.837,-12.055,-9.833,-11.969,-9.844,0.04148,-11.967,-9.843,-0.0023,-0.0651
5.5,-11.784,-9.631,-11.849,-9.66,-11.851,-9.655,-11.789,-9.692,0.04222,-11.79,-9.693,0.0018,-0.0651
6.0,-11.503,-9.374,-11.586,-9.419,-11.59,-9.413,-11.542,-9.455,0.04393,-11.545,-9.458,0.0042,-0.0651
6.5,-11.269,-9.144,-11.369,-9.204,-11.37,-9.201,-11.298,-9.266,0.04522,-11.303,-9.268,0.0026,-0.0651
7.0,-11.0,-8.836,-11.114,-8.909,-11.114,-8.907,-11.036,-8.969,0.04823,-11.04,-8.969,0.0011,-0.0651
7.5,-10.76,-8.497,-10.883,-8.581,-10.882,-8.579,-10.793,-8.62,0.05162,-10.787,-8.612,-0.0055,-0.0651
8.0,-10.541,-8.194,-10.676,-8.296,-10.674,-8.295,-10.564,-8.346,0.0548,-10.557,-8.331,-0.008,-0.0651
8.5,-10.281,-7.872,-10.431,-7.994,-10.431,-7.992,-10.334,-8.019,0.05967,-10.316,-7.999,-0.0107,-0.0651
9.0,-9.986,-7.587,-10.144,-7.724,-10.144,-7.722,-10.068,-7.757,0.06515,-10.06,-7.752,-0.0027,-0.0651
